Question,Answer
Problems with this organelle can cause Diamond–Blackfan anemia. A type of scanning named for these organelles takes place in their smaller subunit. Some of these organelles are attached to the inner mitochondrial [“my”-toe-KON-dree-ul] membrane. The primary purpose of the nucleolus [noo-klee-OH-luss] is to manufacture these organelles. Many of these organelles are attached to the rough endoplasmic reticulum’s outer membrane. These organelles are the location where translating mRNA into protein occurs. Name these organelles that are made up largely of their namesake RNA.,ribosomes [accept Palade granules]
"This person wrote the memoir Quiet Strength. This person’s most famous action was almost identical to what Claudette Colvin had done, but Colvin was less supported because she was unmarried and pregnant. E. D. Nixon and Clifford Durr represented this person, but a similar case involving Aurelia Browder went to the Supreme Court instead of this person’s case. This person was arrested on December 1, 1955, and she was supported by Martin Luther King Jr. when he was president of the Montgomery Improvement Association. Name this woman who refused to give up her bus seat to a white passenger.",Rosa (McCauley) Parks [accept either underlined name]
"When this term is used as a verb in statistics, it refers to the methods of restriction, matching, or randomization, all of which are done to address confounding variables. The past participle of this term is used to describe an experiment that uses the method of comparison. In those experiments, an effort is made to have two groups that differ only in one variable so that the effect of that variable can be studied. Give this word that also refers to the group in an experiment that either receives a placebo or goes untreated so that they can be compared to the group that does receive treatment.",control [accept controlled]
"This U.S. president supported a mission that captured and then lost the village of Kekionga [kee-kee-AWN-guh] under the leadership of Josiah Harmar [hur-MAR]. After another defeat at the site that is now Fort Recovery, this president forced General Arthur St. Clair to resign. This president’s farewell address was first published as a letter in the American Daily Advertiser. That address, which said “foreign influence is one of the most baneful foes of republican government”, is now spoken by a senator each year. This president was unanimously elected by the Electoral College both times he ran. This president’s treasury secretary was Alexander Hamilton. Name this first U.S. president.",George Washington
"Every other triangular number is in the sequence named for this type of polygon. The Pascal line of this type of polygon exists if the vertices are on a conic section. In the regular polygon of this type, the longest diagonals are twice as long as the sides. Squares, triangles, and the regular polygon of this type are the only regular polygons that, on their own, can tessellate the plane. The regular polygon of this type is broken into equilateral triangles by drawing all of the diagonals through the center. This polygon’s central angles each measure 60 degrees. Name this shape that has one more side than a pentagon.",(regular) hexagons  Bonuses
Leontyne Price and Maria Callas are singers in this voice range. A. Name this common female voice range whose lowest note is typically around middle C.,soprano B. Leontyne Price was best known for performing as this title character who sings “O Patria Mia”. Radamès [rah-dah-MAYSS] falls in love with this enslaved Ethiopian princess.  Aida [“eye”-EE-dah] C. The first season of the Lyric Opera of Chicago featured Maria Callas in this title role. This title character of an opera by Vincenzo Bellini sings “Casta Diva”.  Norma
"One of the most obvious examples of this phenomenon is the “photo-” type. A. Name this orientation of a plant in response to a stimulus, such as when they grow towards light.",tropism [accept phototropism or phototropy] B. Tropism is often explained as a response by these plant hormones that promote cell elongation.  auxins [AWK-sinz] C. Auxins were discovered by studying these sheaths that protect monocotyledons [MAH-noh-koh-tuh-LEE-dunz].  coleoptiles [koh-lee-AHP-“tiles”]
Name these compromises from U.S. history: A. This 1820 compromise admitted Maine as a free state and its namesake state as a slave state.,Missouri Compromise B. This compromise included the Fugitive Slave Act and the admission of California as a free state.  Compromise of 1850 C. This unsuccessful compromise included six proposed constitutional amendments. This compromise was an attempt to avert the Civil War by making slavery permanent.  Crittenden Compromise
This poet wrote the autobiographies The Big Sea and I Wonder as I Wander. A. Name this poet who asked “What happens to a dream deferred?” in the poem “Harlem”.,"(James Mercer) Langston Hughes B. This poem by Hughes states “I bathed in the Euphrates [yoo-FRAY-teez] when dawns were young” before mentioning the Congo, Nile, and Mississippi.  “The Negro Speaks of Rivers” C. What is the last word in the poem “Harlem”? This word finishes the question beginning “Or does it”.  explode?"
Identify these units of length: A. This is the SI [“S-I”] base unit of length.,
"meter [or meters] B. This unit is 10 to the −10th meters, approximately the size of an atomic radius. This unit is named for a Swedish scientist.",
"angstrom [or angstroms] C. This length, named for a scientist, is based on fundamental constants and equal to a little more than 10 to the −35th meters.",Planck length [accept Max (Karl Ernst Ludwig) Planck]
"This character resumes playing the organ after he is told by Professor Pierre Aronnax that there are at least 100 savages nearby. A. Name this character, identified as Prince Dakkar in The Mysterious Island, who designs and captains a submarine.",Captain Nemo B. Captain Nemo is a character in this author’s Twenty Thousand Leagues Under the Seas.  Jules (Gabriel) Verne [zhool vairn] C. This commander of the Abraham Lincoln in Twenty Thousand Leagues Under the Seas shares his name with a real-life naval oﬀicer.  Commander Farragut
The architect I. M. Pei [pay] used pyramids in some of his designs. A. Pei designed four pyramids for the courtyard of this art museum in Paris.,the Louvre Palace [accept Palais du Louvre] B. Pei also used a pyramid structure for part of this project on the south shore of Lake Erie.  Rock and Roll Hall of Fame [prompt on RRHOF or Rock Hall] C. Pei’s original design for the library and museum dedicated to this president was a truncated pyramid.  John F(itzgerald) Kennedy [accept JFK]
The multiplicative version of this concept is the same thing as the reciprocal. A. Name this concept. The additive version is found by multiplying the original number by −1.,"inverse B. Find the multiplicative inverse of 2 minus the square root of 3. Express your answer without using any fractions.   plus the square root of 3 [or the square root of 3 plus 2; accept 2 plus radical 3 or radical 3 plus 2] C. This term is given to the result of a number being cancelled by its inverse. For reals, one is the multiplicative type, and zero is the additive type.  identity element [accept identities]"
"After Nikita Khrushchev [KROOSH-cheff] denounced Stalinism, this person had his country denounce the Soviet Union. A. Name this leader of the People’s Republic of China. He was the Chairman of the Communist Party of China until his death in 1976.","(Chairman) Mao Zedong [or Mao Tse-tung; prompt on Zedong or Tse-tung] B. For the last 10 years of his life, Mao oversaw this movement whose goal was to remove capitalist and traditional elements.  (Great Proletarian) Cultural Revolution [accept (Wuchanjieji) wenhua geming] C. This person became the premier of China from 1976 to 1980 and chairman of the Chinese Communist Party from 1976 to 1981. He arrested the Gang of Four and allowed the restoration of Deng Xiaoping [dung shao-ping].  Hua Guofeng [prompt on Guofeng; accept Su Zhu] 0"
"Confusingly, this process involves a gain in electrons. A. Name this process that generally occurs at the same time that another atom undergoes oxidation.","reduction [or reducing; accept reduce(s) or reduce(d); do not accept “redox”] B. Give the name often used for elements in group 2 of the periodic table, which include beryllium [buh-RILL-ee-um] and generally can be used as reducing agents.  alkaline earth metals [do not accept or prompt on “alkali”] C. This class of compounds that consist of a metal with a negative hydrogen ion are also used as reducing agents.  metal hydrides [“HIDE-rides”]"
"The introduction to this poem says “The Pool Players. Seven at the Golden Shovel.” A. Name this poem that states, “We / Left school. We / Lurk late. We / Strike straight. We / Sing sin. We / Thin gin. We / Jazz June. We / Die soon.”","“We Real Cool” B. This Black writer, who was the Poet Laureate of Illinois from 1968 to 2000, wrote “We Real Cool”.  Gwendolyn (Elizabeth) Brooks C. Gwendolyn Brooks also wrote this poem about an “old yellow pair” “who are Mostly Good”.  “The Bean Eaters”"
This region consists primarily of iron and nickel. A. Name this region in the middle of the Earth that has inner and outer layers.,"(Earth’s) core B. These seismic waves can travel through the Earth’s core. Give a one-letter answer.  P-waves C. The lower mantle near the core has rocks very similar to this rock. The prototype of this rock is calcium titanate [“titan-ate”], but the rocks near the core are made of magnesium silicate [SIL-uh-kut] in a similar crystal form.  post-perovskite [peh-RAWVS-“kite”] 1"
"Many world leaders attended the annual Climate Change Conference in November 2022 in Egypt. A. This organization, which has a Security Council and General Assembly, organized the conference.","United Nations [accept UN] B. Kristalina Georgieva [kree-stah-LEE-nuh gorg-YEV-uh], the leader of this organization, called for higher carbon prices. This organization was created along with the World Bank in 1944 to increase monetary cooperation.  International Monetary Fund [accept IMF] C. An agreement to create this fund was made at the conference. This fund, whose name is two English words separated by the word “and”, forces wealthy nations to pay for environmental problems in developing nations.  loss and damage fund"
"In this type of sequence, the difference between any two consecutive terms is always the same. A. Name this type of sequence formed by repeatedly adding the same number to each term to get the next term.","arithmetic [air-ith-MET-ik] sequence [or arithmetic progression] B. Find the 21st term of the arithmetic sequence that begins 47, 49, 51, et cetera.  7 C. Find the sum of the first 200 positive integers.  0,100"
"Dorine tells this character that Elmire wants to talk to him, and he later tries to seduce Elmire. A. Name this character who tries to get Orgon arrested and gain Orgon’s possessions.","Tartuffe [tar-toof] B. Tartuffe is the title character in a play by this French writer who also wrote The Misanthrope.  Molière [mawl-yair] [or Jean-Baptiste Poquelin] C. A lost play by Molière is titled for a person with this job being in Love. In another play by Molière, two servants force a woodcutter to claim he has this job; that play is titled for somebody having this job in Spite of Himself.  doctor [accept physician or médecin] 2"
Answer these questions about Moses: A. Whose bones did Moses take out of Egypt because of a promise made by the sons of Israel?,"Joseph’s bones [or Yosef] B. What man, the father-in-law of Moses, suggested that Moses appoint judges instead of judging every case himself?  Jethro [or Yitro] C. Moses was tending to Jethro’s flock when he saw an angel and heard from the Lord on Mount Horeb. The Lord spoke from what object, which burned but was not consumed by the fire?  burning bush [accept seneh or brambles]"
Wilson’s theorem is usually expressed using this type of arithmetic. A. Name this type of arithmetic in which two numbers are considered equivalent if they have the same remainder when divided by the same fixed number.,"modular arithmetic [prompt on modulus or modulo] B. Which theorem states that “a to the p power” is congruent to a, mod p, for every prime number p?  Fermat’s [fair-mah’z] little theorem [prompt on partial answer] C. What one-digit positive number is congruent to −12, mod 10?"
This particle was first observed in 2012 at the Large Hadron [HAY-dron] Collider. A. Name this fundamental particle whose mass has been used to calculate the mass of W and Z bosons [BOH-zahnz].,Higgs boson [or Higgs particle] B. W and Z bosons mediate this fundamental interaction.  (electro)weak interaction or (electro)weak force C. The Higgs field is this type of field in which every point in space can be assigned a numerical value. Potential and temperature fields are also this type of field.  scalar fields 3
This person was re-elected to the U.S. Senate by the Illinois General Assembly after engaging in seven debates with Abraham Lincoln in 1858. A. Name this Democrat who then finished fourth in the 1860 Presidential Election.,"Stephen A(rnold) Douglas B. During the debate, Lincoln contrasted this 1854 law drafted by Douglas with the Dred Scott decision. This law gave two territories the ability to apply for statehood and determine their own slavery policy.  Kansas–Nebraska Act C. At the debate in this town, Douglas said “No matter what the decision of the Supreme Court may be on that abstract question, still the right of the people to make a Slave Territory or a Free Territory is perfect and complete under the Nebraska bill.”  Freeport, Illinois [accept Freeport Doctrine]"
"This poem ends “A mind at peace with all below, a heart whose love is innocent!”. A. Name this poem about a woman who is “like the night of cloudless climes and starry skies.”","“She Walks in Beauty” B. This poet wrote “She Walks in Beauty” as well as the longer works Don Juan [joo-un] and Childe Harold’s Pilgrimage.  (George Gordon Noel,) Lord Byron [accept any underlined name] C. In 1816, which became known as the Year Without a Summer, Byron wrote this poem that begins “I had a dream, which was not all a dream.”  “Darkness” 4"
